patient_id,staff_id,staff_name,staff_role,shift
9823096,757491,Anneke Segebahn B.Eng.,Technician,Day
62047829,766870,عبد الواحد المهنا,Physician,Evening
54644444,434871,Bernhard Ruppersberger,Nurse,Evening
26255976,651483,Anke Trubin,Resident,Evening
21873323,231570,ديمه أبو داوود,Resident,Day
91269368,82988,Edgar Frederick,Technician,Night
36426438,577770,Steven Huynh,Nurse,Evening
36426438,998838,Constanza Menendez Carmona,Intern,Day
23933821,231570,ديمه أبو داوود,Resident,Day
23933821,88236,Jennifer Rice,Physician,Day
33674005,434871,Bernhard Ruppersberger,Nurse,Evening
33674005,771619,Aurore de la Martineau,Nurse,Night
72561987,842785,Aimée Lemonnier,Physician,Day
72561987,992470,Larry Lowe,Technician,Night
72561987,991291,Matteo Baum B.Eng.,Physician,Day
54135833,108535,Alf Rosenow,Physician,Night
84694575,948207,Mariah Smith,Intern,Night
59235168,307403,Pierre Turpin,Nurse,Day
11607251,863103,Prof. Bernward Hahn B.A.,Nurse,Night
11607251,218344,Ing. Rebekka Schweitzer,Resident,Day
32257560,984109,Isaac Pruvost-Andre,Intern,Night
53781511,41208,Matthieu Royer de la Brunet,Resident,Day
53781511,757491,Anneke Segebahn B.Eng.,Technician,Day
53781511,502703,Mia Schmiedt,Intern,Day
22361772,618066,طارق الراشد,Resident,Day
55025097,36803,Frédérique de Rey,Resident,Day
2510382,30217,Nadia Patiño Arjona,Physician,Night
27356369,984109,Isaac Pruvost-Andre,Intern,Night
36792943,992470,Larry Lowe,Technician,Night
19514737,434871,Bernhard Ruppersberger,Nurse,Evening
23262357,771619,Aurore de la Martineau,Nurse,Night
8690230,664769,Calvin Clark,Technician,Day
9060899,674624,Águeda Delia Figueras Tolosa,Nurse,Evening
68192471,333230,Juan Francisco Herrera Grande,Nurse,Night
27500002,842785,Aimée Lemonnier,Physician,Day
27500002,230145,المهندسة إباء آل العسكري,Technician,Night
26724631,992470,Larry Lowe,Technician,Night
38071592,573492,Luis Ángel Casado Porta,Technician,Evening
18664094,687256,Pedro Hierro,Physician,Evening
18664094,7596,عزّ الدّين آل معيض,Resident,Night
18664094,184508,قائد فصيل,Resident,Night
64299349,819149,لوليا آل مقطة,Technician,Evening
72859510,664769,Calvin Clark,Technician,Day
9094581,88236,Jennifer Rice,Physician,Day
9094581,7596,عزّ الدّين آل معيض,Resident,Night
9094581,30217,Nadia Patiño Arjona,Physician,Night
58091986,963708,Sibylla Pohl B.Eng.,Physician,Night
87681245,935868,Steven Wang,Technician,Day
79081347,231570,ديمه أبو داوود,Resident,Day
79081347,998838,Constanza Menendez Carmona,Intern,Day
79081347,843504,Meagan Fitzpatrick,Intern,Evening
52307564,674624,Águeda Delia Figueras Tolosa,Nurse,Evening
97913967,41208,Matthieu Royer de la Brunet,Resident,Day
97913967,333230,Juan Francisco Herrera Grande,Nurse,Night
97913967,164281,Jens-Peter Kostolzin MBA.,Resident,Night
30732786,577770,Steven Huynh,Nurse,Evening
11356385,41208,Matthieu Royer de la Brunet,Resident,Day
93886724,948207,Mariah Smith,Intern,Night
8942652,948207,Mariah Smith,Intern,Night
86135911,973262,Germán de Estévez,Intern,Evening
86135911,41208,Matthieu Royer de la Brunet,Resident,Day
18336272,618066,طارق الراشد,Resident,Day
44864380,843504,Meagan Fitzpatrick,Intern,Evening
15641893,307403,Pierre Turpin,Nurse,Day
59511793,618066,طارق الراشد,Resident,Day
59511793,757491,Anneke Segebahn B.Eng.,Technician,Day
54572836,769560,Margot Foucher,Technician,Evening
60658045,863103,Prof. Bernward Hahn B.A.,Nurse,Night
60658045,998838,Constanza Menendez Carmona,Intern,Day
60658045,751163,Dr. Aynur Flantz,Resident,Night
17391926,992470,Larry Lowe,Technician,Night
27791103,984109,Isaac Pruvost-Andre,Intern,Night
91220075,998838,Constanza Menendez Carmona,Intern,Day
21367476,651483,Anke Trubin,Resident,Evening
21367476,948207,Mariah Smith,Intern,Night
21367476,863103,Prof. Bernward Hahn B.A.,Nurse,Night
66775252,531506,Curro Tena Izaguirre,Nurse,Night
74289317,651483,Anke Trubin,Resident,Evening
68681052,843504,Meagan Fitzpatrick,Intern,Evening
88163239,485384,Gabriel Allard,Nurse,Night
3340668,687256,Pedro Hierro,Physician,Evening
28586725,41208,Matthieu Royer de la Brunet,Resident,Day
32292,41208,Matthieu Royer de la Brunet,Resident,Day
73752526,30217,Nadia Patiño Arjona,Physician,Night
73752526,819149,لوليا آل مقطة,Technician,Evening
82229308,992470,Larry Lowe,Technician,Night
82229308,434871,Bernhard Ruppersberger,Nurse,Evening
82229308,230145,المهندسة إباء آل العسكري,Technician,Night
93853496,973262,Germán de Estévez,Intern,Evening
93853496,314159,الأستاذة بشرى أبو داوود,Technician,Day
30452991,184508,قائد فصيل,Resident,Night
30452991,819149,لوليا آل مقطة,Technician,Evening
62181534,842785,Aimée Lemonnier,Physician,Day
27449356,345587,أفراح كانو,Technician,Day
27449356,973262,Germán de Estévez,Intern,Evening
7343523,963708,Sibylla Pohl B.Eng.,Physician,Night
30628793,173454,Guy Philippe,Technician,Evening
82618068,651483,Anke Trubin,Resident,Evening
30640127,36803,Frédérique de Rey,Resident,Day
23203851,991291,Matteo Baum B.Eng.,Physician,Day
4899219,577770,Steven Huynh,Nurse,Evening
56316374,231570,ديمه أبو داوود,Resident,Day
15236213,531506,Curro Tena Izaguirre,Nurse,Night
1332570,757491,Anneke Segebahn B.Eng.,Technician,Day
592415,651483,Anke Trubin,Resident,Evening
58967645,766870,عبد الواحد المهنا,Physician,Evening
58967645,664769,Calvin Clark,Technician,Day
58967645,30217,Nadia Patiño Arjona,Physician,Night
52240392,88236,Jennifer Rice,Physician,Day
43860140,650680,Marcus Koch,Technician,Night
43860140,998838,Constanza Menendez Carmona,Intern,Day
98154986,674624,Águeda Delia Figueras Tolosa,Nurse,Evening
80092253,973262,Germán de Estévez,Intern,Evening
80092253,146284,عتيد أبا الخيل,Intern,Day
85292597,771619,Aurore de la Martineau,Nurse,Night
47868227,108535,Alf Rosenow,Physician,Night
15244949,769560,Margot Foucher,Technician,Evening
27821186,307403,Pierre Turpin,Nurse,Day
18271604,796375,Ing. Hans-Hermann Kobelt B.A.,Intern,Night
31475798,674624,Águeda Delia Figueras Tolosa,Nurse,Evening
73805049,531506,Curro Tena Izaguirre,Nurse,Night
26531200,751163,Dr. Aynur Flantz,Resident,Night
78739783,935868,Steven Wang,Technician,Day
55153926,173454,Guy Philippe,Technician,Evening
55153926,7596,عزّ الدّين آل معيض,Resident,Night
41568032,7596,عزّ الدّين آل معيض,Resident,Night
41568032,651483,Anke Trubin,Resident,Evening
41568032,30217,Nadia Patiño Arjona,Physician,Night
63161056,843504,Meagan Fitzpatrick,Intern,Evening
63161056,502703,Mia Schmiedt,Intern,Day
58593100,485384,Gabriel Allard,Nurse,Night
17468253,164281,Jens-Peter Kostolzin MBA.,Resident,Night
99953177,651483,Anke Trubin,Resident,Evening
99953177,687256,Pedro Hierro,Physician,Evening
79530651,819149,لوليا آل مقطة,Technician,Evening
2254819,314159,الأستاذة بشرى أبو داوود,Technician,Day
94716562,963708,Sibylla Pohl B.Eng.,Physician,Night
94716562,935868,Steven Wang,Technician,Day
94909843,36803,Frédérique de Rey,Resident,Day
82616846,434871,Bernhard Ruppersberger,Nurse,Evening
82616846,863103,Prof. Bernward Hahn B.A.,Nurse,Night
82616846,843504,Meagan Fitzpatrick,Intern,Evening
46770385,819149,لوليا آل مقطة,Technician,Evening
46770385,230145,المهندسة إباء آل العسكري,Technician,Night
46770385,173454,Guy Philippe,Technician,Evening
13208674,751163,Dr. Aynur Flantz,Resident,Night
49556791,992470,Larry Lowe,Technician,Night
49556791,307403,Pierre Turpin,Nurse,Day
81730353,173454,Guy Philippe,Technician,Evening
48010777,30217,Nadia Patiño Arjona,Physician,Night
36901194,992470,Larry Lowe,Technician,Night
36901194,502703,Mia Schmiedt,Intern,Day
56588572,88236,Jennifer Rice,Physician,Day
6053701,973262,Germán de Estévez,Intern,Evening
79475976,485384,Gabriel Allard,Nurse,Night
71442163,618066,طارق الراشد,Resident,Day
72773943,314159,الأستاذة بشرى أبو داوود,Technician,Day
72773943,531506,Curro Tena Izaguirre,Nurse,Night
59116183,314159,الأستاذة بشرى أبو داوود,Technician,Day
49631798,757491,Anneke Segebahn B.Eng.,Technician,Day
49631798,573492,Luis Ángel Casado Porta,Technician,Evening
72602480,88236,Jennifer Rice,Physician,Day
45344657,36803,Frédérique de Rey,Resident,Day
45344657,108535,Alf Rosenow,Physician,Night
45344657,7596,عزّ الدّين آل معيض,Resident,Night
42410710,771619,Aurore de la Martineau,Nurse,Night
29874255,88236,Jennifer Rice,Physician,Day
75734290,164281,Jens-Peter Kostolzin MBA.,Resident,Night
75734290,771619,Aurore de la Martineau,Nurse,Night
33957716,502703,Mia Schmiedt,Intern,Day
89191432,485384,Gabriel Allard,Nurse,Night
8192961,948207,Mariah Smith,Intern,Night
567455,948207,Mariah Smith,Intern,Night
69079393,386181,Sybille Seifert,Technician,Evening
33485974,146284,عتيد أبا الخيل,Intern,Day
33485974,674624,Águeda Delia Figueras Tolosa,Nurse,Evening
33485974,992470,Larry Lowe,Technician,Night
84092750,843504,Meagan Fitzpatrick,Intern,Evening
72897224,164281,Jens-Peter Kostolzin MBA.,Resident,Night
35814083,231570,ديمه أبو داوود,Resident,Day
56456475,863103,Prof. Bernward Hahn B.A.,Nurse,Night
84707936,651483,Anke Trubin,Resident,Evening
33129405,231570,ديمه أبو داوود,Resident,Day
87984938,651483,Anke Trubin,Resident,Evening
87984938,664769,Calvin Clark,Technician,Day
87984938,948207,Mariah Smith,Intern,Night
30040552,991291,Matteo Baum B.Eng.,Physician,Day
22154226,963708,Sibylla Pohl B.Eng.,Physician,Night
22154226,769560,Margot Foucher,Technician,Evening
47897443,333230,Juan Francisco Herrera Grande,Nurse,Night
25635389,36803,Frédérique de Rey,Resident,Day
25635389,863103,Prof. Bernward Hahn B.A.,Nurse,Night
25635389,82988,Edgar Frederick,Technician,Night
76399198,173454,Guy Philippe,Technician,Evening
99959902,7596,عزّ الدّين آل معيض,Resident,Night
99959902,771619,Aurore de la Martineau,Nurse,Night
99959902,998838,Constanza Menendez Carmona,Intern,Day
84390304,531506,Curro Tena Izaguirre,Nurse,Night
56539009,184508,قائد فصيل,Resident,Night
51381925,345587,أفراح كانو,Technician,Day
51381925,146284,عتيد أبا الخيل,Intern,Day
51381925,771619,Aurore de la Martineau,Nurse,Night
77306704,687256,Pedro Hierro,Physician,Evening
97613436,573492,Luis Ángel Casado Porta,Technician,Evening
51505936,230145,المهندسة إباء آل العسكري,Technician,Night
51505936,82988,Edgar Frederick,Technician,Night
51505936,842785,Aimée Lemonnier,Physician,Day
86497194,531506,Curro Tena Izaguirre,Nurse,Night
8263782,88236,Jennifer Rice,Physician,Day
84706946,333230,Juan Francisco Herrera Grande,Nurse,Night
90683862,935868,Steven Wang,Technician,Day
90683862,164281,Jens-Peter Kostolzin MBA.,Resident,Night
1789359,307403,Pierre Turpin,Nurse,Day
1789359,650680,Marcus Koch,Technician,Night
77069145,573492,Luis Ángel Casado Porta,Technician,Evening
31181445,766870,عبد الواحد المهنا,Physician,Evening
94223402,766870,عبد الواحد المهنا,Physician,Evening
94223402,562838,Jose Angel Goñi,Technician,Night
27889150,769560,Margot Foucher,Technician,Evening
49408759,573492,Luis Ángel Casado Porta,Technician,Evening
22604597,757491,Anneke Segebahn B.Eng.,Technician,Day
22604597,577770,Steven Huynh,Nurse,Evening
22604597,173454,Guy Philippe,Technician,Evening
72063663,769560,Margot Foucher,Technician,Evening
63440846,7596,عزّ الدّين آل معيض,Resident,Night
17912267,573492,Luis Ángel Casado Porta,Technician,Evening
17912267,819149,لوليا آل مقطة,Technician,Evening
17912267,30217,Nadia Patiño Arjona,Physician,Night
25951506,998838,Constanza Menendez Carmona,Intern,Day
25951506,757491,Anneke Segebahn B.Eng.,Technician,Day
19268968,992470,Larry Lowe,Technician,Night
11287730,434871,Bernhard Ruppersberger,Nurse,Evening
26072799,307403,Pierre Turpin,Nurse,Day
26072799,184508,قائد فصيل,Resident,Night
50111288,184508,قائد فصيل,Resident,Night
72507439,314159,الأستاذة بشرى أبو داوود,Technician,Day
67828956,30217,Nadia Patiño Arjona,Physician,Night
68100398,819149,لوليا آل مقطة,Technician,Evening
67927154,618066,طارق الراشد,Resident,Day
90870608,577770,Steven Huynh,Nurse,Evening
63946283,998838,Constanza Menendez Carmona,Intern,Day
78398430,651483,Anke Trubin,Resident,Evening
78398430,935868,Steven Wang,Technician,Day
78398430,231570,ديمه أبو داوود,Resident,Day
13723822,434871,Bernhard Ruppersberger,Nurse,Evening
13723822,935868,Steven Wang,Technician,Day
57786871,842785,Aimée Lemonnier,Physician,Day
13235225,664769,Calvin Clark,Technician,Day
13235225,531506,Curro Tena Izaguirre,Nurse,Night
13235225,41208,Matthieu Royer de la Brunet,Resident,Day
16889176,218344,Ing. Rebekka Schweitzer,Resident,Day
60545912,41208,Matthieu Royer de la Brunet,Resident,Day
60545912,948207,Mariah Smith,Intern,Night
47115609,41208,Matthieu Royer de la Brunet,Resident,Day
42899168,386181,Sybille Seifert,Technician,Evening
42899168,333230,Juan Francisco Herrera Grande,Nurse,Night
46714457,863103,Prof. Bernward Hahn B.A.,Nurse,Night
46714457,618066,طارق الراشد,Resident,Day
46714457,41208,Matthieu Royer de la Brunet,Resident,Day
95128117,434871,Bernhard Ruppersberger,Nurse,Evening
95128117,7596,عزّ الدّين آل معيض,Resident,Night
95128117,108535,Alf Rosenow,Physician,Night
89241259,36803,Frédérique de Rey,Resident,Day
4950614,164281,Jens-Peter Kostolzin MBA.,Resident,Night
4950614,386181,Sybille Seifert,Technician,Evening
48603508,963708,Sibylla Pohl B.Eng.,Physician,Night
48603508,36803,Frédérique de Rey,Resident,Day
59721058,618066,طارق الراشد,Resident,Day
20848505,36803,Frédérique de Rey,Resident,Day
54894317,664769,Calvin Clark,Technician,Day
28447850,769560,Margot Foucher,Technician,Evening
25512679,146284,عتيد أبا الخيل,Intern,Day
58018561,562838,Jose Angel Goñi,Technician,Night
58018561,998838,Constanza Menendez Carmona,Intern,Day
60778763,769560,Margot Foucher,Technician,Evening
60609670,333230,Juan Francisco Herrera Grande,Nurse,Night
14645920,973262,Germán de Estévez,Intern,Evening
4663177,687256,Pedro Hierro,Physician,Evening
55920500,757491,Anneke Segebahn B.Eng.,Technician,Day
2493729,307403,Pierre Turpin,Nurse,Day
1513892,674624,Águeda Delia Figueras Tolosa,Nurse,Evening
87004679,796375,Ing. Hans-Hermann Kobelt B.A.,Intern,Night
87004679,231570,ديمه أبو داوود,Resident,Day
87004679,618066,طارق الراشد,Resident,Day
83114516,82988,Edgar Frederick,Technician,Night
83114516,230145,المهندسة إباء آل العسكري,Technician,Night
83114516,674624,Águeda Delia Figueras Tolosa,Nurse,Evening
45153346,664769,Calvin Clark,Technician,Day
45153346,991291,Matteo Baum B.Eng.,Physician,Day
26131789,577770,Steven Huynh,Nurse,Evening
12871825,863103,Prof. Bernward Hahn B.A.,Nurse,Night
22012298,230145,المهندسة إباء آل العسكري,Technician,Night
22012298,82988,Edgar Frederick,Technician,Night
73171804,230145,المهندسة إباء آل العسكري,Technician,Night
73171804,819149,لوليا آل مقطة,Technician,Evening
37034393,30217,Nadia Patiño Arjona,Physician,Night
70087211,88236,Jennifer Rice,Physician,Day
69800118,41208,Matthieu Royer de la Brunet,Resident,Day
98393011,502703,Mia Schmiedt,Intern,Day
54252841,843504,Meagan Fitzpatrick,Intern,Evening
73138070,935868,Steven Wang,Technician,Day
95914287,82988,Edgar Frederick,Technician,Night
31691597,164281,Jens-Peter Kostolzin MBA.,Resident,Night
8727426,998838,Constanza Menendez Carmona,Intern,Day
43668151,82988,Edgar Frederick,Technician,Night
43668151,562838,Jose Angel Goñi,Technician,Night
43668151,650680,Marcus Koch,Technician,Night
78478015,984109,Isaac Pruvost-Andre,Intern,Night
78401259,650680,Marcus Koch,Technician,Night
78401259,984109,Isaac Pruvost-Andre,Intern,Night
78401259,7596,عزّ الدّين آل معيض,Resident,Night
24968234,573492,Luis Ángel Casado Porta,Technician,Evening
76137771,485384,Gabriel Allard,Nurse,Night
12129323,843504,Meagan Fitzpatrick,Intern,Evening
38782851,796375,Ing. Hans-Hermann Kobelt B.A.,Intern,Night
80532391,485384,Gabriel Allard,Nurse,Night
80532391,36803,Frédérique de Rey,Resident,Day
4812546,984109,Isaac Pruvost-Andre,Intern,Night
4812546,650680,Marcus Koch,Technician,Night
4812546,434871,Bernhard Ruppersberger,Nurse,Evening
88498319,577770,Steven Huynh,Nurse,Evening
57743165,108535,Alf Rosenow,Physician,Night
36561605,757491,Anneke Segebahn B.Eng.,Technician,Day
36561605,231570,ديمه أبو داوود,Resident,Day
22644338,184508,قائد فصيل,Resident,Night
18724896,230145,المهندسة إباء آل العسكري,Technician,Night
18724896,41208,Matthieu Royer de la Brunet,Resident,Day
43416784,345587,أفراح كانو,Technician,Day
27325109,184508,قائد فصيل,Resident,Night
89108229,146284,عتيد أبا الخيل,Intern,Day
28404593,664769,Calvin Clark,Technician,Day
88890225,751163,Dr. Aynur Flantz,Resident,Night
88890225,650680,Marcus Koch,Technician,Night
88890225,307403,Pierre Turpin,Nurse,Day
59117395,998838,Constanza Menendez Carmona,Intern,Day
59117395,771619,Aurore de la Martineau,Nurse,Night
17549965,562838,Jose Angel Goñi,Technician,Night
10767319,751163,Dr. Aynur Flantz,Resident,Night
10767319,502703,Mia Schmiedt,Intern,Day
10767319,618066,طارق الراشد,Resident,Day
23542472,771619,Aurore de la Martineau,Nurse,Night
23542472,36803,Frédérique de Rey,Resident,Day
23542472,218344,Ing. Rebekka Schweitzer,Resident,Day
86211544,562838,Jose Angel Goñi,Technician,Night
78940488,434871,Bernhard Ruppersberger,Nurse,Evening
54305788,485384,Gabriel Allard,Nurse,Night
54305788,618066,طارق الراشد,Resident,Day
83060278,573492,Luis Ángel Casado Porta,Technician,Evening
83060278,843504,Meagan Fitzpatrick,Intern,Evening
83060278,998838,Constanza Menendez Carmona,Intern,Day
27413819,687256,Pedro Hierro,Physician,Evening
96319652,7596,عزّ الدّين آل معيض,Resident,Night
22670848,307403,Pierre Turpin,Nurse,Day
24374739,674624,Águeda Delia Figueras Tolosa,Nurse,Evening
42157285,766870,عبد الواحد المهنا,Physician,Evening
25201930,948207,Mariah Smith,Intern,Night
25201930,218344,Ing. Rebekka Schweitzer,Resident,Day
25201930,963708,Sibylla Pohl B.Eng.,Physician,Night
13977418,314159,الأستاذة بشرى أبو داوود,Technician,Day
12403895,573492,Luis Ángel Casado Porta,Technician,Evening
12403895,757491,Anneke Segebahn B.Eng.,Technician,Day
43830051,819149,لوليا آل مقطة,Technician,Evening
45581213,434871,Bernhard Ruppersberger,Nurse,Evening
11455843,218344,Ing. Rebekka Schweitzer,Resident,Day
93269291,935868,Steven Wang,Technician,Day
65390904,766870,عبد الواحد المهنا,Physician,Evening
65390904,36803,Frédérique de Rey,Resident,Day
56620337,41208,Matthieu Royer de la Brunet,Resident,Day
51008439,108535,Alf Rosenow,Physician,Night
57165336,434871,Bernhard Ruppersberger,Nurse,Evening
96344770,796375,Ing. Hans-Hermann Kobelt B.A.,Intern,Night
96344770,41208,Matthieu Royer de la Brunet,Resident,Day
64283154,991291,Matteo Baum B.Eng.,Physician,Day
94154575,502703,Mia Schmiedt,Intern,Day
94154575,386181,Sybille Seifert,Technician,Evening
80981576,751163,Dr. Aynur Flantz,Resident,Night
50729950,41208,Matthieu Royer de la Brunet,Resident,Day
68620257,842785,Aimée Lemonnier,Physician,Day
68620257,41208,Matthieu Royer de la Brunet,Resident,Day
68620257,757491,Anneke Segebahn B.Eng.,Technician,Day
15971535,651483,Anke Trubin,Resident,Evening
31506951,230145,المهندسة إباء آل العسكري,Technician,Night
52571083,769560,Margot Foucher,Technician,Evening
60274415,7596,عزّ الدّين آل معيض,Resident,Night
11118851,434871,Bernhard Ruppersberger,Nurse,Evening
11118851,674624,Águeda Delia Figueras Tolosa,Nurse,Evening
8829237,687256,Pedro Hierro,Physician,Evening
8829237,984109,Isaac Pruvost-Andre,Intern,Night
8829237,314159,الأستاذة بشرى أبو داوود,Technician,Day
61565655,146284,عتيد أبا الخيل,Intern,Day
61565655,173454,Guy Philippe,Technician,Evening
61565655,7596,عزّ الدّين آل معيض,Resident,Night
83655200,769560,Margot Foucher,Technician,Evening
83655200,650680,Marcus Koch,Technician,Night
96862238,345587,أفراح كانو,Technician,Day
25000601,984109,Isaac Pruvost-Andre,Intern,Night
25000601,485384,Gabriel Allard,Nurse,Night
25000601,992470,Larry Lowe,Technician,Night
17649193,333230,Juan Francisco Herrera Grande,Nurse,Night
15179265,88236,Jennifer Rice,Physician,Day
81088529,531506,Curro Tena Izaguirre,Nurse,Night
21367010,935868,Steven Wang,Technician,Day
21367010,333230,Juan Francisco Herrera Grande,Nurse,Night
24746367,687256,Pedro Hierro,Physician,Evening
